File Generated on 06-Oct-2015 04:55:34,
Data for 05-Oct-2015,
Date,HourEnd,LoadAvgHourlyMIDATL,LoadAvgHourlyAP,LoadAvgHourlyNI,LoadAvgHourlyAEP,LoadAvgHourlyDAY,LoadAvgHourlyDUQ,LoadAvgHourlyDOM,LoadAvgHourlyATSI,LoadAvgHourlyDEOK,LoadAvgHourlyEKPC
10/05/2015,1,22221.0,4264.4,8382.9,10861.4,1513.0,1189.5,7463.7,5749.1,2287.5,959.7
10/05/2015,2,21446.2,4226.2,8022.0,10473.5,1465.3,1150.9,7170.8,5613.1,2195.0,906.6
10/05/2015,3,21146.4,4181.1,7847.5,10339.7,1433.8,1121.5,7041.3,5531.8,2136.3,891.1
10/05/2015,4,21116.9,4204.4,7716.8,10344.5,1423.5,1118.6,7081.6,5533.4,2115.9,874.3
10/05/2015,5,21797.9,4267.4,7743.9,10575.9,1454.5,1133.6,7337.2,5651.0,2145.2,887.3
10/05/2015,6,23706.9,4527.4,7933.0,11242.6,1570.6,1217.1,8028.6,6056.2,2301.1,889.6
10/05/2015,7,27213.3,5035.2,8667.5,12659.8,1790.0,1358.6,9076.9,6776.6,2619.9,1015.1
10/05/2015,8,28816.3,5224.8,9800.7,13660.1,1928.8,1436.0,9642.6,7270.5,2789.5,1070.0
10/05/2015,9,29100.3,5294.8,10497.2,13644.1,1951.5,1466.7,9724.3,7403.0,2828.6,1045.4
10/05/2015,10,29086.5,5253.1,10747.1,13860.9,1995.1,1504.1,9767.1,7471.7,2894.6,1058.9
10/05/2015,11,29104.4,5255.9,10939.4,14149.2,2050.8,1537.0,9766.4,7624.2,3010.8,1083.8
10/05/2015,12,29005.2,5246.7,11102.4,14252.7,2084.0,1552.4,9816.1,7709.6,3065.7,1112.7
10/05/2015,13,29011.0,5241.3,11131.1,14427.5,2127.6,1583.9,9798.4,7729.9,3148.4,1153.7
10/05/2015,14,29108.4,5241.6,11134.4,14572.1,2174.2,1593.0,9809.9,7853.7,3214.9,1193.8
10/05/2015,15,28994.2,5179.9,11151.7,14632.8,2197.8,1588.9,9737.3,7584.8,3267.3,1235.4
10/05/2015,16,28845.4,5171.1,11050.1,14612.3,2191.6,1585.7,9723.0,7658.6,3302.5,1278.3
10/05/2015,17,29037.3,5148.1,10939.7,14722.0,2204.5,1585.2,9759.8,7605.0,3353.2,1324.6
10/05/2015,18,29316.1,5179.4,10910.3,14590.3,2212.6,1576.7,9807.4,7571.7,3337.9,1355.5
10/05/2015,19,29884.8,5264.1,10976.1,14508.3,2184.4,1558.8,9964.5,7505.7,3297.5,1349.2
10/05/2015,20,31203.9,5539.5,11284.3,14973.4,2220.5,1594.5,10467.5,7797.5,3312.1,1369.3
10/05/2015,21,30412.1,5430.9,11358.3,14744.3,2209.6,1565.4,10242.5,7768.5,3301.7,1376.2
10/05/2015,22,28811.5,5124.6,11048.3,14183.0,2084.2,1506.4,9679.9,7397.8,3130.2,1278.7
10/05/2015,23,26417.8,4805.7,10512.0,13236.8,1915.9,1396.1,8878.2,6845.0,2883.5,1143.7
10/05/2015,24,24323.7,4447.5,9765.3,12234.1,1758.8,1282.8,8130.4,6435.2,2633.6,1013.8
