temp,hindx,year,mindx,dindx
61,22,2015,10,7
60,23,2015,10,7
60,0,2015,10,8
60,1,2015,10,8
60,2,2015,10,8
60,3,2015,10,8
59,4,2015,10,8
59,5,2015,10,8
58,6,2015,10,8
57,7,2015,10,8
58,8,2015,10,8
62,9,2015,10,8
66,10,2015,10,8
70,11,2015,10,8
72,12,2015,10,8
74,13,2015,10,8
75,14,2015,10,8
75,15,2015,10,8
74,16,2015,10,8
73,17,2015,10,8
71,18,2015,10,8
68,19,2015,10,8
66,20,2015,10,8
64,21,2015,10,8
63,22,2015,10,8
62,23,2015,10,8
62,0,2015,10,9
62,1,2015,10,9
62,2,2015,10,9
62,3,2015,10,9
61,4,2015,10,9
61,5,2015,10,9
61,6,2015,10,9
60,7,2015,10,9
62,8,2015,10,9
65,9,2015,10,9
70,10,2015,10,9
73,11,2015,10,9
76,12,2015,10,9
78,13,2015,10,9
79,14,2015,10,9
79,15,2015,10,9
78,16,2015,10,9
77,17,2015,10,9
75,18,2015,10,9
72,19,2015,10,9
69,20,2015,10,9
68,21,2015,10,9
67,22,2015,10,9
66,23,2015,10,9
65,0,2015,10,10
64,1,2015,10,10
64,2,2015,10,10
63,3,2015,10,10
62,4,2015,10,10
61,5,2015,10,10
60,6,2015,10,10
58,7,2015,10,10
58,8,2015,10,10
58,9,2015,10,10
58,10,2015,10,10
59,11,2015,10,10
59,12,2015,10,10
60,13,2015,10,10
60,14,2015,10,10
60,15,2015,10,10
60,16,2015,10,10
60,17,2015,10,10
59,18,2015,10,10
57,19,2015,10,10
55,20,2015,10,10
55,21,2015,10,10
54,22,2015,10,10
53,23,2015,10,10
52,0,2015,10,11
52,1,2015,10,11
51,2,2015,10,11
51,3,2015,10,11
50,4,2015,10,11
50,5,2015,10,11
49,6,2015,10,11
49,7,2015,10,11
50,8,2015,10,11
53,9,2015,10,11
57,10,2015,10,11
61,11,2015,10,11
64,12,2015,10,11
65,13,2015,10,11
67,14,2015,10,11
67,15,2015,10,11
67,16,2015,10,11
67,17,2015,10,11
65,18,2015,10,11
61,19,2015,10,11
58,20,2015,10,11
56,21,2015,10,11
55,22,2015,10,11
55,23,2015,10,11
54,0,2015,10,12
53,1,2015,10,12
53,2,2015,10,12
53,3,2015,10,12
52,4,2015,10,12
52,5,2015,10,12
51,6,2015,10,12
51,7,2015,10,12
52,8,2015,10,12
56,9,2015,10,12
61,10,2015,10,12
65,11,2015,10,12
67,12,2015,10,12
69,13,2015,10,12
69,14,2015,10,12
69,15,2015,10,12
69,16,2015,10,12
69,17,2015,10,12
67,18,2015,10,12
63,19,2015,10,12
61,20,2015,10,12
61,21,2015,10,12
60,22,2015,10,12
59,23,2015,10,12
59,0,2015,10,13
59,1,2015,10,13
58,2,2015,10,13
58,3,2015,10,13
57,4,2015,10,13
57,5,2015,10,13
56,6,2015,10,13
56,7,2015,10,13
57,8,2015,10,13
60,9,2015,10,13
63,10,2015,10,13
66,11,2015,10,13
68,12,2015,10,13
69,13,2015,10,13
70,14,2015,10,13
70,15,2015,10,13
69,16,2015,10,13
69,17,2015,10,13
67,18,2015,10,13
63,19,2015,10,13
61,20,2015,10,13
59,21,2015,10,13
58,22,2015,10,13
56,23,2015,10,13
55,0,2015,10,14
54,1,2015,10,14
53,2,2015,10,14
52,3,2015,10,14
51,4,2015,10,14
50,5,2015,10,14
50,6,2015,10,14
49,7,2015,10,14
50,8,2015,10,14
53,9,2015,10,14
58,10,2015,10,14
61,11,2015,10,14
63,12,2015,10,14
64,13,2015,10,14
65,14,2015,10,14
66,15,2015,10,14
65,16,2015,10,14
64,17,2015,10,14
63,18,2015,10,14
60,19,2015,10,14
58,20,2015,10,14
56,21,2015,10,14
54,22,2015,10,14
53,23,2015,10,14
53,0,2015,10,15
52,1,2015,10,15
52,2,2015,10,15
51,3,2015,10,15
50,4,2015,10,15
49,5,2015,10,15
49,6,2015,10,15
49,7,2015,10,15
50,8,2015,10,15
54,9,2015,10,15
59,10,2015,10,15
63,11,2015,10,15
66,12,2015,10,15
69,13,2015,10,15
69,14,2015,10,15
69,15,2015,10,15
68,16,2015,10,15
67,17,2015,10,15
65,18,2015,10,15
62,19,2015,10,15
59,20,2015,10,15
57,21,2015,10,15
56,22,2015,10,15
55,23,2015,10,15
54,0,2015,10,16
54,1,2015,10,16
54,2,2015,10,16
53,3,2015,10,16
52,4,2015,10,16
51,5,2015,10,16
50,6,2015,10,16
50,7,2015,10,16
52,8,2015,10,16
55,9,2015,10,16
59,10,2015,10,16
62,11,2015,10,16
66,12,2015,10,16
68,13,2015,10,16
69,14,2015,10,16
69,15,2015,10,16
68,16,2015,10,16
67,17,2015,10,16
65,18,2015,10,16
62,19,2015,10,16
59,20,2015,10,16
56,21,2015,10,16
55,22,2015,10,16
54,23,2015,10,16
53,0,2015,10,17
53,1,2015,10,17
52,2,2015,10,17
51,3,2015,10,17
51,4,2015,10,17
50,5,2015,10,17
49,6,2015,10,17
48,7,2015,10,17
49,8,2015,10,17
53,9,2015,10,17
56,10,2015,10,17
59,11,2015,10,17
61,12,2015,10,17
63,13,2015,10,17
63,14,2015,10,17
63,15,2015,10,17
63,16,2015,10,17
62,17,2015,10,17
61,18,2015,10,17
58,19,2015,10,17
55,20,2015,10,17
54,21,2015,10,17
